ab	preposition		Ab morgen arbeite ich in einem neuen Büro.	From tomorrow I am working in a new office.
ab und zu	adverb		Ab und zu gehe ich mit Freunden ins Kino.	Now and again I go to the cinema with friends.
Abend (abends)	noun	der	Am Abend lese ich gern ein Buch.	In the evening I like to read a book.
als/ wenn	conjunction		Als ich klein war, wohnten wir in Hamburg.	When I was little, we lived in Hamburg.
bald (bis bald)	adverb		Bis bald, wir sehen uns am Wochenende!	See you soon, we'll meet at the weekend!
bevor	conjunction		Bevor ich schlafen gehe, putze ich mir die Zähne.	Before I go to bed, I brush my teeth.
damals	adverb		Damals gab es in unserem Dorf noch keine Schule.	Then there was still no school in our village.
dann	adverb		Zuerst frühstücke ich, dann fahre ich zur Arbeit.	First I have breakfast, then I drive to work.
endlich / zuletzt	adverb		Endlich haben wir eine bezahlbare Wohnung gefunden.	At last we have found an affordable flat.
erst (um)	adverb		Der Film beginnt erst um acht Uhr.	The film doesn't start until eight o'clock.
früh (früher)	adverb		Früher bin ich immer sehr früh aufgestanden.	Previously I always got up very early.
gestern	adverb		Gestern habe ich meine Großeltern besucht.	Yesterday I visited my grandparents.
gewöhnlich	adverb		Gewöhnlich trinke ich morgens einen Kaffee.	I usually drink a coffee in the morning.
heute	adverb		Heute habe ich leider überhaupt keine Zeit.	Unfortunately I have no time at all today.
immer (noch)	adverb		Er wartet immer noch auf eine Antwort.	He is still waiting for an answer.
manchmal	adverb		Manchmal fahre ich mit dem Rad zur Schule.	Sometimes I cycle to school.
Mittag (mittags)	noun	der	Am Mittag essen wir zusammen in der Kantine.	At midday we eat together in the canteen.
Mitte (mitten in)	noun	die	In der Mitte des Zimmers steht ein großer Tisch.	In the middle of the room there is a big table.
Mitternacht	noun	die	Um Mitternacht haben alle das neue Jahr begrüßt.	At midnight everyone welcomed the new year.
Monat (monatlich)	noun	der	Nächsten Monat ziehe ich in eine neue Wohnung.	Next month I am moving into a new flat.
morgen	adverb		Morgen schreiben wir eine Klassenarbeit.	Tomorrow we are writing a class test.
Morgen (morgens)	noun	der	Am Morgen ist die Stadt noch ganz ruhig.	In the morning the town is still very quiet.
nachdem	conjunction		Nachdem ich gegessen hatte, ging ich spazieren.	After I had eaten, I went for a walk.
nachher	adverb		Wir können nachher noch einen Kaffee trinken.	We can have a coffee afterwards.
Nachmittag (nachmittags)	noun	der	Am Nachmittag treffe ich mich mit Freunden.	In the afternoon I meet up with friends.
nächst	adjective		Nächste Woche fahren wir nach München.	Next week we are going to Munich.
neulich	adverb		Neulich habe ich einen alten Freund getroffen.	Recently I met an old friend.
nicht mehr	adverb		Ich rauche seit zwei Jahren nicht mehr.	I haven't smoked for two years.
nie	adverb		Ich war noch nie in Österreich.	I have never been to Austria.
noch	adverb		Hast du noch Hunger?	Are you still hungry?
noch nicht	adverb		Der Brief ist noch nicht angekommen.	The letter has not arrived yet.
plötzlich	adverb		Plötzlich fing es an zu regnen.	Suddenly it started to rain.
schon	adverb		Ich habe den Film schon dreimal gesehen.	I have already seen the film three times.
sobald	conjunction		Sobald ich zu Hause bin, rufe ich dich an.	As soon as I am home, I'll call you.
sofort	adverb		Komm bitte sofort ins Büro!	Please come to the office immediately!
täglich	adverb		Ich gehe täglich eine halbe Stunde spazieren.	I go for a half-hour walk daily.
übermorgen	adverb		Übermorgen beginnen endlich die Ferien.	The day after tomorrow the holidays finally start.
vorgestern	adverb		Vorgestern war ich beim Zahnarzt.	The day before yesterday I was at the dentist's.
vorher	adverb		Wir treffen uns um acht, aber vorher muss ich einkaufen.	We are meeting at eight, but beforehand I have to shop.
Vormittag (vormittags)	noun	der	Am Vormittag habe ich zwei Stunden Deutsch.	In the morning I have two hours of German.
zuerst	adverb		Zuerst müssen wir die Karten kaufen.	First we have to buy the tickets.
aber	conjunction		Ich wollte kommen, aber ich hatte keine Zeit.	I wanted to come, but I had no time.
