Acker	noun	der	Auf dem Acker hinter dem Dorf wächst Weizen.	Wheat grows in the field behind the village.
Allee	noun	die	Die Allee zum Schloss ist von alten Bäumen gesäumt.	The avenue to the castle is lined with old trees.
Bach	noun	der	Hinter dem Haus fließt ein kleiner Bach.	A small stream flows behind the house.
bauen	verb		Sie bauen am Stadtrand ein neues Haus.	They are building a new house on the edge of town.
Bauer / Bäuerin	noun	der	Der Bauer steht jeden Tag um fünf Uhr auf.	The farmer gets up at five o'clock every day.
Bauernhof	noun	der	Meine Großeltern haben einen Bauernhof.	My grandparents have a farm.
Baum	noun	der	Vor unserem Haus steht ein großer Baum.	There is a big tree in front of our house.
Berg	noun	der	Im Sommer wandern wir gern in den Bergen.	In summer we like hiking in the mountains.
Blatt	noun	das	Im Herbst fallen die Blätter von den Bäumen.	In autumn the leaves fall from the trees.
Boden	noun	der	Nach dem Regen war der Boden sehr nass.	After the rain the ground was very wet.
Bundesstraße	noun	die	Die Bundesstraße führt direkt nach Bonn.	The A-road leads directly to Bonn.
Bürgersteig	noun	der	Kinder sollen auf dem Bürgersteig gehen.	Children should walk on the pavement.
Bushaltestelle	noun	die	Die Bushaltestelle ist gleich um die Ecke.	The bus stop is just round the corner.
Dach	noun	das	Das Dach unseres Hauses ist ganz neu.	The roof of our house is brand new.
Einbahnstraße	noun	die	Hier darf man nicht fahren, das ist eine Einbahnstraße.	You can't drive here, it's a one-way street.
Feld	noun	das	Auf dem Feld arbeiten zwei Traktoren.	Two tractors are working in the field.
flach	adjective		Die Landschaft im Norden ist sehr flach.	The landscape in the north is very flat.
Fluss	noun	der	Der Fluss ist nach dem Regen sehr breit.	The river is very wide after the rain.
Gebiet	noun	das	Dieses Gebiet ist bei Touristen sehr beliebt.	This region is very popular with tourists.
Gebirge	noun	das	Im Winter fahren wir oft ins Gebirge.	In winter we often go to the mountains.
Gegend	noun	die	In dieser Gegend gibt es viele alte Kirchen.	In this district there are many old churches.
Hecke	noun	die	Die Hecke zwischen den Gärten ist sehr hoch.	The hedge between the gardens is very high.
Hügel (hügelig)	noun	der	Hinter dem Dorf liegt ein grüner Hügel.	Behind the village there is a green hill.
Kanal	noun	der	Am Kanal kann man gut spazieren gehen.	You can go for a nice walk along the canal.
Loch	noun	das	In der Straße ist ein tiefes Loch.	There is a deep hole in the road.
Straße	noun	die	Unsere Straße ist abends sehr ruhig.	Our street is very quiet in the evening.
Straßenbahn	noun	die	Ich fahre mit der Straßenbahn zur Arbeit.	I take the tram to work.
Tal	noun	das	Im Tal liegt ein kleines Dorf.	There is a small village in the valley.
Ufer (Flussufer)	noun	das	Wir haben am Ufer des Flusses gepicknickt.	We had a picnic on the bank of the river.
Wald	noun	der	Am Sonntag gehen wir im Wald spazieren.	On Sunday we go for a walk in the forest.
Wiese	noun	die	Auf der Wiese blühen viele Blumen.	Many flowers are blooming in the meadow.
Wohnblock	noun	der	Sie wohnt in einem großen Wohnblock.	She lives in a big block of flats.
wohnen	verb		Ich wohne seit fünf Jahren in dieser Stadt.	I have lived in this town for five years.
Wohnung	noun	die	Unsere Wohnung hat drei Zimmer.	Our flat has three rooms.
Apotheke (Apotheker)	noun	die	Diese Tabletten bekommt man nur in der Apotheke.	You can only get these tablets at the chemist's.
Bäcker/in (Bäckerei)	noun	der	Der Bäcker öffnet schon um sechs Uhr.	The baker opens at six o'clock already.
Bibliothek(ar/in)	noun	die	Ich leihe mir Bücher in der Bibliothek aus.	I borrow books from the library.
Briefkasten	noun	der	Der Briefkasten steht an der Ecke.	The letter box is on the corner.
Briefmarke	noun	die	Ich brauche noch eine Briefmarke für den Brief.	I still need a stamp for the letter.
Brücke	noun	die	Die Brücke über den Fluss ist gesperrt.	The bridge over the river is closed.
Buch(handlung)	noun	das	Ich habe mir in der Buchhandlung ein Buch gekauft.	I bought myself a book in the bookshop.
Burg	noun	die	Die alte Burg liegt hoch über der Stadt.	The old castle lies high above the town.
Delikatessengeschäft	noun	das	Im Delikatessengeschäft kaufen wir guten Käse.	We buy good cheese at the delicatessen.
Dom / Kathedrale	noun	der	Der Dom in Köln ist weltberühmt.	The cathedral in Cologne is world-famous.
Drogerie	noun	die	Shampoo kaufe ich immer in der Drogerie.	I always buy shampoo at the chemist's.
Einkaufszentrum	noun	das	Am Samstag ist das Einkaufszentrum immer voll.	On Saturday the shopping centre is always full.
einwerfen	verb		Kannst du bitte diesen Brief einwerfen?	Can you post this letter, please?
Gemüsehändler	noun	der	Der Gemüsehändler hat heute frische Tomaten.	The greengrocer has fresh tomatoes today.
Geschäft	noun	das	Dieses Geschäft ist sonntags geschlossen.	This shop is closed on Sundays.
Juwelier	noun	der	Beim Juwelier haben wir einen Ring gekauft.	We bought a ring at the jeweller's.
Kapelle	noun	die	Neben dem Friedhof steht eine kleine Kapelle.	There is a small chapel next to the cemetery.
Kino	noun	das	Heute Abend gehen wir ins Kino.	This evening we are going to the cinema.
Kirche	noun	die	Die Kirche im Dorf ist sehr alt.	The church in the village is very old.
Kneipe	noun	die	Nach der Arbeit treffen wir uns in einer Kneipe.	After work we meet in a pub.
Konditorei	noun	die	In der Konditorei gibt es fantastische Torten.	In the cake shop there are fantastic cakes.
Kunst(galerie)	noun	die	Die Kunstgalerie zeigt Bilder aus dem Barock.	The art gallery shows pictures from the Baroque period.
Leben	noun	das	Mein Leben hat sich seit dem Umzug verändert.	My life has changed since the move.
leben	verb		Meine Großeltern leben auf dem Land.	My grandparents live in the country.
Lebensmittel(geschäft)	noun	die	Lebensmittel kaufen wir immer am Samstag ein.	We always buy groceries on Saturday.
Markt (Marktplatz)	noun	der	Auf dem Markt gibt es frisches Obst.	At the market there is fresh fruit.
Metzger(ei)	noun	der	Beim Metzger kaufen wir Fleisch für das Wochenende.	At the butcher's we buy meat for the weekend.
Modegeschäft	noun	das	Im neuen Modegeschäft ist alles ziemlich teuer.	In the new clothes shop everything is rather expensive.
Post(amt)	noun	die	Ich muss noch zur Post, um ein Paket abzuschicken.	I still have to go to the post office to send a parcel.
Postleitzahl	noun	die	Vergiss die Postleitzahl auf dem Umschlag nicht!	Don't forget the post code on the envelope!
Rathaus	noun	das	Das Rathaus steht mitten auf dem Marktplatz.	The town hall stands in the middle of the market place.
Schloss	noun	das	Das Schloss kann man jeden Tag besichtigen.	You can visit the castle every day.
sparen	verb		Ich spare für ein neues Fahrrad.	I am saving for a new bicycle.
Sparkasse	noun	die	Mein Konto habe ich bei der Sparkasse.	I have my account at the savings bank.
tanken	verb		Wir müssen vor der Autobahn noch tanken.	We have to fill up with petrol before the motorway.
Tankstelle	noun	die	Die nächste Tankstelle ist zehn Kilometer entfernt.	The next petrol station is ten kilometres away.
Turm	noun	der	Vom Turm hat man einen schönen Blick über die Stadt.	From the tower you have a lovely view over the town.
Verkehrsamt	noun	das	Im Verkehrsamt bekommt man einen Stadtplan.	At the tourist office you can get a town map.
Zentrum	noun	das	Im Zentrum der Stadt darf man nicht parken.	You can't park in the town centre.
Ausgang / Ausfahrt	noun	der	Der Ausgang befindet sich hinten rechts.	The exit is at the back on the right.
Auto	noun	das	Unser Auto ist zehn Jahre alt.	Our car is ten years old.
Autobahn	noun	die	Auf der Autobahn war viel Verkehr.	There was a lot of traffic on the motorway.
Benzin	noun	das	Benzin ist in diesem Jahr wieder teurer geworden.	Petrol has become more expensive again this year.
bremsen	verb		Er musste plötzlich stark bremsen.	He suddenly had to brake hard.
