Auge	noun	das	Meine Schwester hat blaue Augen.	My sister has blue eyes.
Bauch	noun	der	Nach dem Essen tat mir der Bauch weh.	After the meal my tummy hurt.
Bein	noun	das	Beim Fußball hat er sich das Bein verletzt.	He injured his leg playing football.
Gesicht	noun	das	Sie hat ein sehr freundliches Gesicht.	She has a very friendly face.
Haare	noun	die	Meine Haare sind zu lang, ich muss zum Friseur.	My hair is too long, I have to go to the hairdresser's.
Hals	noun	der	Mein Hals tut seit gestern weh.	My throat has been hurting since yesterday.
Knie	noun	das	Beim Sturz habe ich mir das Knie aufgeschlagen.	I cut my knee when I fell.
Körper	noun	der	Sport ist gut für den ganzen Körper.	Sport is good for the whole body.
Mund	noun	der	Beim Zahnarzt musst du den Mund öffnen.	At the dentist's you have to open your mouth.
Nase	noun	die	Bei der Erkältung läuft mir die Nase.	With the cold my nose is running.
Ohr	noun	das	Die laute Musik tut in den Ohren weh.	The loud music hurts your ears.
Schulter	noun	die	Nach dem Training tut meine Schulter weh.	After training my shoulder hurts.
angeln	verb		Mein Opa angelt gern am See.	My grandpa likes fishing at the lake.
Angelrute	noun	die	Er hat eine neue Angelrute bekommen.	He got a new fishing rod.
Bad	noun	das	Nach dem Sport nehme ich ein warmes Bad.	After sport I take a warm bath.
baden	verb		Im Sommer baden wir oft im See.	In summer we often bathe in the lake.
Badeanzug/hose	noun	der	Vergiss deinen Badeanzug für das Schwimmbad nicht!	Don't forget your swimming costume for the pool!
Badeort	noun	der	Dieser Badeort ist im Sommer sehr voll.	This seaside resort is very full in summer.
bewegen	verb		Nach dem Unfall konnte er den Arm kaum bewegen.	After the accident he could hardly move his arm.
Endspiel	noun	das	Unsere Mannschaft steht im Endspiel.	Our team is in the final.
Freibad	noun	das	Im Sommer gehen wir jeden Tag ins Freibad.	In summer we go to the open-air pool every day.
Fuß (zu Fuß gehen)	noun	der	Zur Schule gehe ich immer zu Fuß.	I always walk to school.
Fußball	noun	der	Am Samstag spielen wir Fußball im Park.	On Saturday we play football in the park.
gewinnen	verb		Unsere Mannschaft hat das Spiel drei zu eins gewonnen.	Our team won the match three-one.
Hallenbad	noun	das	Im Winter schwimme ich im Hallenbad.	In winter I swim in the indoor pool.
joggen	verb		Ich jogge dreimal in der Woche im Park.	I jog in the park three times a week.
Kanufahren	noun	das	Kanufahren auf dem Fluss macht viel Spaß.	Canoeing on the river is great fun.
kegeln	verb		Am Freitagabend gehen wir kegeln.	On Friday evening we go bowling.
klettern	verb		Im Urlaub sind wir auf einen Berg geklettert.	On holiday we climbed a mountain.
laufen	verb		Er läuft jeden Morgen fünf Kilometer.	He runs five kilometres every morning.
Leichtathletik	noun	die	In der Schule mache ich am liebsten Leichtathletik.	At school I like athletics best.
Liga	noun	die	Unser Verein spielt in der zweiten Liga.	Our club plays in the second league.
Mannschaft	noun	die	Unsere Mannschaft trainiert zweimal in der Woche.	Our team trains twice a week.
Netz	noun	das	Der Ball ist genau ins Netz gegangen.	The ball went straight into the net.
Reiten	noun	das	Reiten ist ein teures, aber schönes Hobby.	Horse riding is an expensive but lovely hobby.
rennen	verb		Er ist so schnell gerannt, wie er konnte.	He ran as fast as he could.
Rennen	noun	das	Das Rennen beginnt um zehn Uhr.	The race starts at ten o'clock.
Rollbrett	noun	das	Zum Geburtstag hat er ein Rollbrett bekommen.	For his birthday he got a skateboard.
Roller	noun	der	Mein kleiner Bruder fährt gern Roller.	My little brother likes riding his scooter.
Rollschuh laufen	verb		Im Park kann man gut Rollschuh laufen.	You can roller skate well in the park.
Ruderboot	noun	das	Wir haben auf dem See ein Ruderboot gemietet.	We hired a rowing boat on the lake.
rudern	verb		Wir sind eine Stunde über den See gerudert.	We rowed across the lake for an hour.
schießen	verb		Er hat den Ball ins Tor geschossen.	He shot the ball into the goal.
schlagen	verb		Sie hat den Ball hart geschlagen.	She hit the ball hard.
Schläger	noun	der	Mein Schläger für Tennis ist kaputt.	My tennis racquet is broken.
Schließfach	noun	das	Die Kleidung liegt im Schließfach im Schwimmbad.	The clothes are in the locker at the swimming pool.
Schlittschuhlaufen	noun	das	Im Winter macht Schlittschuhlaufen großen Spaß.	In winter ice skating is great fun.
Schwimmbad	noun	das	Das Schwimmbad ist montags geschlossen.	The swimming pool is closed on Mondays.
schwimmen	verb		Ich schwimme zweimal in der Woche.	I swim twice a week.
See (der/die) (an der See)	noun	der	Im Sommer fahren wir an die See.	In summer we go to the seaside.
segeln	verb		Auf dem großen See kann man gut segeln.	You can sail well on the big lake.
Ski fahren	verb		Im Januar fahren wir in Österreich Ski.	In January we go skiing in Austria.
Skilehrer/in	noun	der	Unser Skilehrer war sehr geduldig.	Our ski instructor was very patient.
spazierengehen	verb		Nach dem Essen gehen wir gern spazieren.	After the meal we like to go for a walk.
Spaziergang	noun	der	Wir haben einen langen Spaziergang gemacht.	We went for a long walk.
Spiel(film)	noun	das	Das Spiel gegen die andere Schule war spannend.	The match against the other school was exciting.
spielen	verb		Ich spiele seit fünf Jahren Klavier.	I have been playing the piano for five years.
Spieler	noun	der	Der beste Spieler der Mannschaft ist verletzt.	The best player in the team is injured.
Spielzeug	noun	das	Das Spielzeug liegt überall im Kinderzimmer.	The toys are all over the children's room.
Sport treiben	verb		Man sollte dreimal in der Woche Sport treiben.	You should do sport three times a week.
Sportplatz	noun	der	Auf dem Sportplatz trainiert die Mannschaft.	The team is training on the sports ground.
springen	verb		Er ist mutig ins kalte Wasser gesprungen.	He bravely jumped into the cold water.
Stadion	noun	das	Im Stadion waren fünfzigtausend Zuschauer.	There were fifty thousand spectators in the stadium.
steigen	verb		Wir sind bis auf den höchsten Berg gestiegen.	We climbed right up the highest mountain.
Surfbrett	noun	das	Sein Surfbrett liegt noch im Auto.	His surfboard is still in the car.
Tor (ein Tor schießen)	noun	das	In der letzten Minute hat er ein Tor geschossen.	In the last minute he scored a goal.
Umkleideraum	noun	der	Die Sporttaschen bleiben im Umkleideraum.	The sports bags stay in the changing room.
Verein	noun	der	Ich bin seit drei Jahren in einem Sportverein.	I have been in a sports club for three years.
verlieren	verb		Wir haben das Spiel leider verloren.	Unfortunately we lost the match.
wandern	verb		Im Urlaub wandern wir jeden Tag.	On holiday we hike every day.
Wanderung	noun	die	Die Wanderung dauerte fünf Stunden.	The hike lasted five hours.
werfen	verb		Wirf mir bitte den Ball zu!	Please throw me the ball!
windsurfen	verb		An der Nordsee kann man gut windsurfen.	You can windsurf well on the North Sea.
Biene	noun	die	Eine Biene hat mich in den Arm gestochen.	A bee stung me on the arm.
Erkältung (sich erkälten)	noun	die	Ich habe eine schlimme Erkältung.	I have a bad cold.
Fieber	noun	das	Das Kind hat seit gestern Fieber.	The child has had a temperature since yesterday.
Fliege	noun	die	Eine Fliege sitzt auf dem Kuchen.	A fly is sitting on the cake.
fühlen	verb		Heute fühle ich mich viel besser.	Today I feel much better.
Gefühl	noun	das	Ich hatte das Gefühl, dass etwas nicht stimmt.	I had the feeling that something was wrong.
gesund (Gesundheit)	adjective		Obst und Gemüse sind sehr gesund.	Fruit and vegetables are very healthy.
Grippe	noun	die	Wegen der Grippe bin ich eine Woche zu Hause geblieben.	Because of the flu I stayed at home for a week.
Halsschmerzen	noun	die	Ich habe Halsschmerzen und kann kaum sprechen.	I have a sore throat and can hardly speak.
Hansaplast	noun	das	Kannst du mir bitte ein Hansaplast geben?	Can you give me a sticking plaster, please?
Heftpflaster	noun	das	Auf die kleine Wunde kam ein Heftpflaster.	A sticking plaster was put on the small wound.
helfen (Hilfe!)	verb		Kannst du mir bitte helfen?	Can you please help me?
Husten	noun	der	Der Husten hält schon zwei Wochen an.	The cough has lasted for two weeks now.
husten	verb		Er hat die ganze Nacht gehustet.	He coughed all night.
Kopfschmerzen	noun	die	Ich habe starke Kopfschmerzen.	I have a bad headache.
krank (Krankheit)	adjective		Meine Schwester ist seit Montag krank.	My sister has been ill since Monday.
Krankenhaus	noun	das	Nach dem Unfall kam er ins Krankenhaus.	After the accident he went to hospital.
Krankenpfleger/ Krankenschwester	noun	der	Die Krankenschwester hat mir geholfen.	The nurse helped me.
Krankenwagen	noun	der	Der Krankenwagen kam innerhalb von zehn Minuten.	The ambulance came within ten minutes.
Magen(schmerzen)	noun	der	Nach dem fetten Essen tut mir der Magen weh.	After the fatty meal my stomach hurts.
Medikament	noun	das	Dieses Medikament muss man dreimal täglich nehmen.	You have to take this medicine three times a day.
Operation	noun	die	Die Operation hat zwei Stunden gedauert.	The operation lasted two hours.
Patient/in	noun	der	Der Patient darf morgen nach Hause.	The patient may go home tomorrow.
Rezept	noun	das	Der Arzt hat mir ein Rezept geschrieben.	The doctor wrote me a prescription.
Schmerzen (schmerzhaft)	noun	die	Ich habe seit gestern starke Schmerzen im Rücken.	I have had bad pain in my back since yesterday.
Schnupfen	noun	der	Im Winter habe ich oft Schnupfen.	In winter I often have a cold.
seekrank	adjective		Auf der Fähre wurde ich seekrank.	I got seasick on the ferry.
sprechen	verb		Ich möchte bitte mit dem Arzt sprechen.	I would like to speak to the doctor, please.
Sprechstunde	noun	die	Die Sprechstunde ist von neun bis zwölf.	Surgery hours are from nine to twelve.
stechen	verb		Eine Wespe hat mich in die Hand gestochen.	A wasp stung me on the hand.
Stich	noun	der	Der Stich am Arm tut noch weh.	The sting on my arm still hurts.
Tablette	noun	die	Nimm zwei Tabletten gegen die Kopfschmerzen.	Take two tablets for the headache.
Unfall	noun	der	Auf der Autobahn gab es einen schweren Unfall.	There was a serious accident on the motorway.
verletzen (sich)	verb		Beim Sport hat er sich am Knie verletzt.	He injured his knee doing sport.
weh tun	verb		Mein Arm tut seit dem Sturz weh.	My arm has hurt since the fall.
Wespe	noun	die	Im Sommer sitzen viele Wespen am Kuchen.	In summer many wasps sit on the cake.
Wunde	noun	die	Die Wunde muss der Arzt sich ansehen.	The doctor has to look at the wound.
Zahn(schmerzen)	noun	der	Mein Zahn tut seit gestern weh.	My tooth has hurt since yesterday.
Zahnarzt / Zahnärztin	noun	der	Ich habe morgen einen Termin beim Zahnarzt.	I have an appointment at the dentist's tomorrow.
Zahnbürste	noun	die	Ich habe meine Zahnbürste zu Hause vergessen.	I forgot my toothbrush at home.
Zahnpasta	noun	die	Die Zahnpasta ist fast leer.	The toothpaste is almost empty.
Anfänger	noun	der	Dieser Kurs ist nur für Anfänger.	This course is only for beginners.
bluten	verb		Meine Nase hat nach dem Sturz geblutet.	My nose bled after the fall.
Blutprobe	noun	die	Im Krankenhaus hat man eine Blutprobe genommen.	At the hospital they took a blood test.
brennen	verb		Die Wunde brennt sehr stark.	The wound is burning badly.
Brust	noun	die	Beim Laufen tat mir die Brust weh.	While running my chest hurt.
Chirurg(in)	noun	der	Der Chirurg hat die Operation gut gemacht.	The surgeon did the operation well.
Durchfall	noun	der	Nach dem Essen bekam er Durchfall.	After the meal he got diarrhoea.
Ellbogen	noun	der	Beim Sturz habe ich mir den Ellbogen gestoßen.	I banged my elbow in the fall.
erbrechen (sich)	verb		Das Kind hat sich im Auto erbrochen.	The child was sick in the car.
Ereignis	noun	das	Das Sportfest war das Ereignis des Jahres.	The sports day was the event of the year.
Erfolg	noun	der	Der Sieg war ein großer Erfolg für die Mannschaft.	The victory was a great success for the team.
Ergebnis	noun	das	Das Ergebnis des Spiels war zwei zu zwei.	The result of the match was two-all.
erhalten	verb		Sie hat für ihre Leistung einen Preis erhalten.	She received a prize for her performance.
erholen (sich)	verb		Nach der Grippe muss er sich gut erholen.	After the flu he has to recover well.
Erleichterung	noun	die	Nach der guten Nachricht war die Erleichterung groß.	After the good news the relief was great.
erreichen	verb		Wir haben den Zug gerade noch erreicht.	We just caught the train.
erste Hilfe	other		In der Schule lernen wir erste Hilfe.	At school we are learning first aid.
fangen	verb		Er hat den Ball mit einer Hand gefangen.	He caught the ball with one hand.
Fußgelenk	noun	das	Beim Laufen habe ich mir das Fußgelenk verstaucht.	I sprained my ankle while running.
Gehirn	noun	das	Sport ist auch für das Gehirn gut.	Sport is also good for the brain.
Geruch	noun	der	In der Küche lag ein guter Geruch nach Kuchen.	There was a good smell of cake in the kitchen.
geschwollen	adjective		Mein Knie ist stark geschwollen.	My knee is badly swollen.
Gips(verband)	noun	der	Er trägt seit drei Wochen einen Gips am Arm.	He has had a plaster on his arm for three weeks.
Glatze	noun	die	Mein Onkel hat schon mit dreißig eine Glatze bekommen.	My uncle went bald at thirty.
Handgelenk	noun	das	Beim Tennis habe ich mir das Handgelenk verletzt.	I injured my wrist playing tennis.
Haut	noun	die	In der Sonne muss man die Haut schützen.	In the sun you have to protect your skin.
heben	verb		Der Koffer ist zu schwer, ich kann ihn nicht heben.	The suitcase is too heavy, I can't lift it.
Heimweh	noun	das	Im Ferienlager hatte ich großes Heimweh.	At the holiday camp I was very homesick.
Helm	noun	der	Beim Radfahren trage ich immer einen Helm.	I always wear a helmet when cycling.
Heuschnupfen	noun	der	Im Frühling habe ich immer Heuschnupfen.	In spring I always have hay fever.
Höhe	noun	die	In dieser Höhe ist die Luft schon dünn.	At this height the air is already thin.
Höhle	noun	die	Im Urlaub haben wir eine große Höhle besichtigt.	On holiday we visited a big cave.
Hustensaft	noun	der	Der Arzt hat mir Hustensaft verschrieben.	The doctor prescribed me cough mixture.
jagen	verb		Im Herbst jagt mein Onkel im Wald.	In autumn my uncle hunts in the forest.
Kinn	noun	das	Beim Sturz habe ich mich am Kinn verletzt.	I hurt my chin in the fall.
Knochen	noun	der	Beim Skifahren hat er sich einen Knochen gebrochen.	He broke a bone while skiing.
leiden	verb		Sie leidet seit Jahren unter Kopfschmerzen.	She has suffered from headaches for years.
Magenverstimmung	noun	die	Nach dem Essen hatte ich eine Magenverstimmung.	After the meal I had a stomach upset.
Meister(schaft)	noun	der	Unsere Mannschaft ist dieses Jahr Meister geworden.	Our team became champions this year.
Menge (Menschenmenge)	noun	die	Vor dem Stadion stand eine große Menge.	There was a big crowd in front of the stadium.
messen	verb		Die Krankenschwester hat mein Fieber gemessen.	The nurse measured my temperature.
nackt	adjective		Im Schwimmbad darf man nicht nackt baden.	You may not bathe naked in the swimming pool.
Pfeil	noun	der	Der Pfeil traf genau die Mitte.	The arrow hit the middle exactly.
pflegen	verb		Sie pflegt ihren kranken Vater zu Hause.	She looks after her sick father at home.
Pokal	noun	der	Die Mannschaft hat den Pokal gewonnen.	The team won the cup.
Röntgenbild	noun	das	Auf dem Röntgenbild sieht man den Bruch deutlich.	On the x-ray you can clearly see the break.
Salbe	noun	die	Die Salbe hilft gegen die Schmerzen.	The ointment helps against the pain.
schaden	verb		Rauchen schadet der Gesundheit.	Smoking harms your health.
Schaden	noun	der	Der Schaden am Auto war zum Glück klein.	Luckily the damage to the car was small.
Schiedsrichter	noun	der	Der Schiedsrichter hat gut gepfiffen.	The referee refereed well.
schlucken	verb		Ich kann die große Tablette kaum schlucken.	I can hardly swallow the big tablet.
Sieg	noun	der	Der Sieg gegen die Nachbarschule war knapp.	The win against the neighbouring school was narrow.
Sonnenstich	noun	der	Ohne Hut bekommt man leicht einen Sonnenstich.	Without a hat you easily get sunstroke.
Sorge (sich Sorgen machen)	noun	die	Meine Eltern machen sich große Sorgen um mich.	My parents are very worried about me.
sorgen für	verb		Am Wochenende sorge ich für meine kleine Schwester.	At the weekend I look after my little sister.
Spritze	noun	die	Vor der Operation bekam er eine Spritze.	Before the operation he got an injection.
tauchen	verb		Im Urlaub habe ich zum ersten Mal getaucht.	On holiday I dived for the first time.
teilnehmen	verb		Ich nehme dieses Jahr am Wettkampf teil.	I am taking part in the competition this year.
Turnier	noun	das	Das Turnier findet am Wochenende statt.	The tournament takes place at the weekend.
übergeben (sich)	verb		Nach der Fahrt hat er sich übergeben.	After the journey he was sick.
unentschieden	adjective		Das Spiel endete unentschieden.	The match ended in a draw.
untersuchen	verb		Der Arzt untersucht mich morgen früh.	The doctor is examining me tomorrow morning.
Verband	noun	der	Der Verband am Arm muss gewechselt werden.	The bandage on the arm has to be changed.
verstauchen (sich)	verb		Beim Sport habe ich mir den Fuß verstaucht.	I sprained my foot doing sport.
verstopft	adjective		Nach dem Urlaub war er ein paar Tage verstopft.	After the holiday he was constipated for a few days.
Wange	noun	die	Das Kind hatte vom Wind rote Wangen.	The child had red cheeks from the wind.
Wettbewerb	noun	der	Unsere Schule nimmt an einem Wettbewerb teil.	Our school is taking part in a competition.
Wettkampf	noun	der	Der Wettkampf beginnt um zehn Uhr.	The competition begins at ten o'clock.
Zeh	noun	der	Ich habe mir den Zeh an der Tür gestoßen.	I banged my toe on the door.
Zunge	noun	die	Die heiße Suppe hat mir die Zunge verbrannt.	The hot soup burned my tongue.
