Abendessen	noun	das	Zum Abendessen gibt es heute Suppe.	For dinner today there is soup.
Appetit (guten Appetit!)	noun	der	Guten Appetit, lasst es euch schmecken!	Enjoy your meal, I hope you like it!
Durst (durstig)	noun	der	Nach dem Sport hatte ich großen Durst.	After sport I was very thirsty.
Flamme	noun	die	Die Flamme auf dem Gasherd ist zu klein.	The flame on the gas cooker is too small.
Flasche	noun	die	Bring bitte eine Flasche Wasser mit!	Please bring a bottle of water!
frisch	adjective		Das Brot vom Bäcker ist noch ganz frisch.	The bread from the baker's is still quite fresh.
Frühstück	noun	das	Zum Frühstück esse ich meistens ein Brötchen.	For breakfast I usually eat a bread roll.
Gabel	noun	die	Auf dem Tisch fehlt noch eine Gabel.	A fork is still missing from the table.
gemischt	adjective		Ich nehme einen gemischten Salat, bitte.	I'll have a mixed salad, please.
Gericht	noun	das	Dieses Gericht ist eine Spezialität der Region.	This dish is a speciality of the region.
Geschirr(tuch)	noun	das	Das Geschirr steht noch in der Spüle.	The crockery is still in the sink.
Getränk	noun	das	Welches Getränk möchtest du zum Essen?	Which drink would you like with your meal?
Glas	noun	das	Im Kühlschrank steht ein Glas Marmelade.	There is a jar of jam in the fridge.
grillen	verb		Im Sommer grillen wir oft im Garten.	In summer we often have a barbecue in the garden.
Imbiss(stube)	noun	der	An der Ecke gibt es einen kleinen Imbiss.	There is a small snack bar on the corner.
Kännchen	noun	das	Ich hätte gern ein Kännchen Kaffee.	I'd like a small pot of coffee.
Kantine	noun	die	Mittags esse ich in der Kantine.	At lunchtime I eat in the canteen.
Küche	noun	die	Meine Mutter steht schon in der Küche.	My mother is already in the kitchen.
lecker	adjective		Der Kuchen war wirklich lecker.	The cake was really delicious.
Löffel	noun	der	Für die Suppe brauchst du einen Löffel.	For the soup you need a spoon.
Mahlzeit (!)	noun	die	Wir essen drei Mahlzeiten am Tag.	We eat three meals a day.
Messer	noun	das	Das Messer ist nicht scharf genug.	The knife is not sharp enough.
Mittagessen	noun	das	Das Mittagessen gibt es um halb eins.	Lunch is at half past twelve.
Nachtisch	noun	der	Als Nachtisch gibt es Eis.	For dessert there is ice cream.
schmecken	verb		Der Kuchen schmeckt mir sehr gut.	I like the taste of the cake very much.
schnell	adjective		Mittags esse ich nur etwas Schnelles.	At lunchtime I only eat something quick.
Schnellimbiss	noun	der	Am Bahnhof gibt es einen Schnellimbiss.	There is a fast food restaurant at the station.
Schüssel	noun	die	Der Salat ist in der großen Schüssel.	The salad is in the big bowl.
Selbstbedienung	noun	die	In diesem Café gibt es nur Selbstbedienung.	In this café there is only self-service.
Speisekarte	noun	die	Können wir bitte die Speisekarte haben?	Could we have the menu, please?
Speisewagen	noun	der	Im Speisewagen haben wir zu Mittag gegessen.	We had lunch in the dining car.
Supermarkt	noun	der	Im Supermarkt kaufen wir am Samstag ein.	We do our shopping at the supermarket on Saturday.
süß	adjective		Der Tee ist mir viel zu süß.	The tea is far too sweet for me.
Tageskarte	noun	die	Auf der Tageskarte steht heute Fisch.	Today the menu of the day has fish on it.
Tasse	noun	die	Möchtest du eine Tasse Tee?	Would you like a cup of tea?
Tee (kanne)	noun	der	Am Nachmittag trinke ich gern Tee.	In the afternoon I like drinking tea.
Tee / Kaffee trinken	verb		Am Sonntag trinken wir bei Oma Kaffee.	On Sunday we have coffee at Grandma's.
Teller	noun	der	Mein Teller ist schon leer.	My plate is already empty.
trinken	verb		Ich trinke jeden Morgen ein Glas Milch.	I drink a glass of milk every morning.
Untertasse	noun	die	Die Tasse steht auf einer kleinen Untertasse.	The cup is standing on a small saucer.
Vorspeise	noun	die	Als Vorspeise nehme ich eine Suppe.	As a starter I'll have soup.
zum Mitnehmen	other		Einen Kaffee zum Mitnehmen, bitte.	A coffee to take away, please.
zum Wohl!	other		Zum Wohl! Auf das neue Jahr!	Cheers! To the new year!
alkohol(frei)	noun	der	Ich trinke lieber ein alkoholfreies Bier.	I prefer drinking a non-alcoholic beer.
Bier	noun	das	Mein Vater trinkt abends gern ein Bier.	My father likes drinking a beer in the evening.
Cola	noun	die	Zum Essen möchte ich eine Cola.	I'd like a coke with my meal.
Fruchtsaft	noun	der	Zum Frühstück trinke ich immer Fruchtsaft.	For breakfast I always drink fruit juice.
Kaffee(kanne)	noun	der	Ohne Kaffee komme ich morgens nicht in Gang.	Without coffee I can't get going in the morning.
Limonade	noun	die	Die Kinder trinken im Sommer viel Limonade.	The children drink a lot of lemonade in summer.
Milch	noun	die	Nimmst du Milch in den Kaffee?	Do you take milk in your coffee?
Saft	noun	der	Im Kühlschrank ist noch Saft.	There is still juice in the fridge.
Schnaps	noun	der	Nach dem Essen trank er einen Schnaps.	After the meal he drank a schnapps.
Sekt	noun	der	Zu Silvester trinken wir Sekt.	At New Year we drink sparkling wine.
Sprudel	noun	der	Ich hätte gern einen Sprudel, bitte.	I'd like a fizzy drink, please.
