amüsieren (sich)	verb		Auf der Party haben wir uns gut amüsiert.	We enjoyed ourselves at the party.
Ansichtskarte	noun	die	Aus dem Urlaub habe ich dir eine Ansichtskarte geschickt.	I sent you a picture postcard from my holiday.
ausgeben	verb		Für Kleidung gebe ich zu viel Geld aus.	I spend too much money on clothes.
ausgehen	verb		Am Freitag gehen wir mit Freunden aus.	On Friday we are going out with friends.
Auskunft	noun	die	Am Bahnhof habe ich mir Auskunft geholt.	I got some information at the station.
Ausstellung	noun	die	Die Ausstellung im Museum läuft noch bis Mai.	The exhibition at the museum runs until May.
basteln	verb		Am Wochenende bastelt mein Bruder gern.	At the weekend my brother likes doing DIY.
bestellen (abbestellen)	verb		Ich möchte bitte eine Pizza bestellen.	I would like to order a pizza, please.
bezahlen	verb		Ich habe die Karten schon bezahlt.	I have already paid for the tickets.
Bild	noun	das	An der Wand hängt ein großes Bild.	A big picture hangs on the wall.
Blume(nhändler)	noun	die	Zum Geburtstag bringe ich ihr Blumen mit.	For her birthday I'm bringing her flowers.
Chor	noun	der	Meine Schwester singt in einem Chor.	My sister sings in a choir.
Computerspiel	noun	das	Dieses Computerspiel ist wirklich spannend.	This computer game is really exciting.
die Sehenswürdigkeiten besichtigen	verb		In Wien haben wir die Sehenswürdigkeiten besichtigt.	In Vienna we went sightseeing.
einkaufen (gehen)	verb		Am Samstag gehen wir immer einkaufen.	On Saturday we always go shopping.
Einladung (einladen)	noun	die	Vielen Dank für die Einladung zu deiner Party!	Many thanks for the invitation to your party!
Eintritt	noun	der	Der Eintritt ins Museum kostet fünf Euro.	Admission to the museum costs five euros.
Eisbahn (Eis laufen)	noun	die	Im Winter gehen wir oft auf die Eisbahn.	In winter we often go to the ice rink.
Erfrischungen	noun	die	In der Pause gibt es Erfrischungen.	There are refreshments during the interval.
Fest	noun	das	Im Sommer gibt es im Dorf ein großes Fest.	In summer there is a big festival in the village.
Feuer(werk)	noun	das	Zu Silvester gibt es ein großes Feuerwerk.	At New Year there is a big firework display.
frei (im Freien)	adjective		Am Samstag habe ich endlich frei.	On Saturday I finally have time off.
Freizeit(beschäftigung)	noun	die	In meiner Freizeit spiele ich Gitarre.	In my free time I play the guitar.
fröhliche Weihnachten	other		Fröhliche Weihnachten und ein gutes neues Jahr!	Happy Christmas and a good new year!
Heiligabend	noun	der	An Heiligabend essen wir bei meinen Großeltern.	On Christmas Eve we eat at my grandparents'.
Ostern	noun	das	Zu Ostern besuchen wir immer meine Tante.	At Easter we always visit my aunt.
Silvester	noun	das	An Silvester feiern wir mit Freunden.	At New Year's Eve we celebrate with friends.
Weihnachten	noun	das	Zu Weihnachten bekommen alle Kinder Geschenke.	At Christmas all the children get presents.
Weihnachtsbaum / Tannenbaum	noun	der	Der Weihnachtsbaum steht schon im Wohnzimmer.	The Christmas tree is already in the living room.
funktionieren	verb		Der Fernseher funktioniert seit gestern nicht.	The television hasn't worked since yesterday.
genießen	verb		Wir haben den Abend am See genossen.	We enjoyed the evening by the lake.
Geschenk	noun	das	Das Geschenk hat ihr sehr gefallen.	She liked the present very much.
Handy	noun	das	Mein Handy ist schon wieder leer.	My mobile phone is flat again.
Herr	noun	der	Herr Schmidt wartet schon im Büro.	Mr Schmidt is already waiting in the office.
Herr Ober!	other		Herr Ober, die Rechnung bitte!	Waiter, the bill please!
Herz	noun	das	Nach dem Lauf schlug mein Herz sehr schnell.	After the run my heart was beating very fast.
