Blockflöte	noun	die	In der Grundschule habe ich Blockflöte gespielt.	At primary school I played the recorder.
Flöte/ Querflöte	noun	die	Meine Schwester spielt seit fünf Jahren Flöte.	My sister has played the flute for five years.
Geige	noun	die	Er übt jeden Abend eine Stunde Geige.	He practises the violin for an hour every evening.
Gitarre	noun	die	Ich habe zum Geburtstag eine Gitarre bekommen.	I got a guitar for my birthday.
Klarinette	noun	die	In der Schulband spielt sie Klarinette.	She plays the clarinet in the school band.
Klavier	noun	das	Zu Hause steht ein altes Klavier.	There is an old piano at home.
Schlagzeug	noun	das	Mein Bruder spielt Schlagzeug in einer Band.	My brother plays the drums in a band.
Trompete	noun	die	Die Trompete ist wirklich sehr laut.	The trumpet is really very loud.
üben	verb		Ich übe jeden Tag eine halbe Stunde Klavier.	I practise the piano for half an hour every day.
Dokumentarfilm	noun	der	Gestern lief ein Dokumentarfilm über Afrika.	Yesterday there was a documentary about Africa.
Komödie	noun	die	Am liebsten sehe ich eine gute Komödie.	I like watching a good comedy best.
Krimi	noun	der	Sonntagabend schauen wir immer einen Krimi.	On Sunday evening we always watch a crime thriller.
Nachrichten	noun	die	Die Nachrichten kommen um acht Uhr.	The news is on at eight o'clock.
Quizsendung	noun	die	Meine Oma sieht gern Quizsendungen.	My grandma likes watching quiz shows.
Seifenoper	noun	die	Diese Seifenoper läuft schon seit zwanzig Jahren.	This soap opera has been running for twenty years.
Sendung	noun	die	Diese Sendung ist bei Jugendlichen sehr beliebt.	This programme is very popular with young people.
Serie	noun	die	Die neue Serie hat sechs Folgen.	The new series has six episodes.
Zeichentrickfilm	noun	der	Kleine Kinder sehen gern Zeichentrickfilme.	Small children like watching cartoons.
anschauen / ansehen	verb		Wir haben uns gestern einen alten Film angeschaut.	Yesterday we watched an old film.
Ball	noun	der	Auf dem Ball haben wir bis Mitternacht getanzt.	At the ball we danced until midnight.
fernsehen	verb		Abends sehe ich höchstens eine Stunde fern.	In the evening I watch TV for an hour at most.
Fernseher	noun	der	Unser Fernseher steht im Wohnzimmer.	Our TV set is in the living room.
hören	verb		Ich höre am liebsten Popmusik.	I like listening to pop music best.
Hörer	noun	der	Bitte nehmen Sie den Hörer ab.	Please pick up the receiver.
Illustrierte	noun	die	Im Wartezimmer lag eine alte Illustrierte.	There was an old magazine in the waiting room.
Konzert	noun	das	Das Konzert war leider ausverkauft.	Unfortunately the concert was sold out.
Kopf(hörer)	noun	der	Im Bus höre ich Musik über Kopfhörer.	On the bus I listen to music through headphones.
Lieblings-	adjective		Mein Lieblingsfilm läuft heute im Fernsehen.	My favourite film is on TV today.
Lied	noun	das	Dieses Lied kenne ich schon aus der Schule.	I know this song from school.
Musik (Pop/Volks/klassische)	noun	die	Klassische Musik höre ich beim Lernen.	I listen to classical music while studying.
Musiker/in (musizieren)	noun	der	Der Musiker spielt seit dreißig Jahren im Orchester.	The musician has played in the orchestra for thirty years.
Oper	noun	die	In der Oper waren wir noch nie.	We have never been to the opera.
Roman	noun	der	Ich lese gerade einen spannenden Roman.	I am reading an exciting novel at the moment.
Sänger/in	noun	der	Der Sänger hat eine tolle Stimme.	The singer has a great voice.
