Abfall(eimer)	noun	der	Bitte wirf den Abfall in den Abfalleimer.	Please throw the rubbish in the bin.
Ampel	noun	die	An der Ampel musst du warten, sie ist rot.	You have to wait at the traffic lights, they are red.
Angst haben	verb		Ich habe Angst vor großen Hunden.	I am frightened of big dogs.
anspringen	verb		Bei der Kälte springt das Auto nicht an.	In the cold the car doesn't start.
arm	adjective		In diesem Land sind viele Menschen arm.	In this country many people are poor.
Blei	noun	das	Benzin ohne Blei ist besser für die Umwelt.	Petrol without lead is better for the environment.
Brand	noun	der	Der Brand in der Fabrik wurde schnell gelöscht.	The fire in the factory was quickly put out.
Erde	noun	die	Wir müssen die Erde für unsere Kinder schützen.	We have to protect the earth for our children.
Grad	noun	das	Heute sind es fünfundzwanzig Grad im Schatten.	Today it is twenty-five degrees in the shade.
Grenze	noun	die	An der Grenze mussten wir lange warten.	We had to wait a long time at the border.
herrlich	adjective		Von hier oben ist die Aussicht herrlich.	From up here the view is wonderful.
Himmel	noun	der	Am Himmel ist heute keine Wolke.	There is no cloud in the sky today.
hoch	adjective		Die Berge hier sind über zweitausend Meter hoch.	The mountains here are over two thousand metres high.
Jahr(eszeit)	noun	das	Der Frühling ist meine liebste Jahreszeit.	Spring is my favourite season.
jährlich	adverb		Dieses Fest findet jährlich im Mai statt.	This festival takes place annually in May.
Luft	noun	die	Die Luft in den Bergen ist sehr sauber.	The air in the mountains is very clean.
Müll(tonne)	noun	der	Der Müll wird jeden Dienstag abgeholt.	The rubbish is collected every Tuesday.
Nachteil	noun	der	Ein Nachteil des Autos ist der hohe Preis.	One disadvantage of the car is the high price.
niedrig / tief	adjective		Die Preise sind in diesem Laden sehr niedrig.	The prices in this shop are very low.
Norden (nördlich)	noun	der	Im Norden von Deutschland liegt die Nordsee.	The North Sea is in the north of Germany.
Osten (östlich)	noun	der	Meine Familie kommt aus dem Osten des Landes.	My family comes from the east of the country.
Panne	noun	die	Auf der Autobahn hatten wir eine Panne.	We had a breakdown on the motorway.
Parkhaus	noun	das	Wir stellen das Auto im Parkhaus ab.	We park the car in the multi-storey car park.
Parkplatz	noun	der	Vor dem Supermarkt gibt es einen großen Parkplatz.	There is a big car park in front of the supermarket.
Partei	noun	die	Welche Partei hat die Wahl gewonnen?	Which party won the election?
Polizei(wache)	noun	die	Wir haben den Diebstahl bei der Polizei gemeldet.	We reported the theft to the police.
Polizist/in	noun	der	Ein Polizist hat uns den Weg erklärt.	A policeman explained the way to us.
Portemonnaie	noun	das	Mein Portemonnaie ist im Bus verschwunden.	My purse disappeared on the bus.
Rauch	noun	der	Aus dem Fenster kam dichter Rauch.	Thick smoke came out of the window.
rauchen	verb		In Restaurants darf man nicht mehr rauchen.	You are no longer allowed to smoke in restaurants.
Recht haben	verb		Du hast Recht, das war meine Schuld.	You are right, it was my fault.
Rechtsanwalt/anwältin	noun	der	Der Rechtsanwalt hat uns gut beraten.	The lawyer advised us well.
Rede	noun	die	Die Rede des Direktors war zum Glück kurz.	The headteacher's speech was luckily short.
reden	verb		Wir haben lange über das Problem geredet.	We talked about the problem for a long time.
