Abitur (Abiturient/in)	noun	das	Nächstes Jahr mache ich mein Abitur.	Next year I am taking my A levels.
Aufgabe	noun	die	Diese Aufgabe war für mich zu schwer.	This exercise was too difficult for me.
aufhören	verb		Hör bitte auf, im Unterricht zu reden!	Please stop talking in class!
aufmachen	verb		Mach bitte dein Buch auf Seite zwanzig auf.	Please open your book at page twenty.
aufräumen	verb		Nach dem Unterricht räumen wir das Zimmer auf.	After the lesson we tidy up the room.
aufpassen	verb		Du musst im Unterricht besser aufpassen.	You have to pay more attention in class.
Aula	noun	die	Die Versammlung findet in der Aula statt.	The assembly takes place in the school hall.
ausmachen	verb		Mach bitte dein Handy im Unterricht aus.	Please turn off your mobile in class.
Doppelstunde	noun	die	Am Montag haben wir eine Doppelstunde Deutsch.	On Monday we have a double period of German.
Gebäude	noun	das	Das neue Gebäude der Schule ist sehr modern.	The school's new building is very modern.
Gespräch	noun	das	Nach dem Unterricht hatte ich ein Gespräch mit dem Lehrer.	After the lesson I had a conversation with the teacher.
Gruppe	noun	die	Wir arbeiten in Gruppen zu viert.	We work in groups of four.
Haus(aufgaben/arbeit)	noun	die	Ich mache meine Hausaufgaben immer am Nachmittag.	I always do my homework in the afternoon.
Hause (zu / nach)	other		Nach der Schule gehe ich sofort nach Hause.	After school I go straight home.
Hausmeister/in	noun	der	Der Hausmeister schließt die Schule um sechs Uhr ab.	The caretaker locks the school at six o'clock.
Haustür	noun	die	Die Haustür der Schule steht immer offen.	The school's front door is always open.
Heft	noun	das	Schreib die Aufgaben bitte in dein Heft.	Please write the exercises in your exercise book.
interessant	adjective		Die Stunde über Geschichte war sehr interessant.	The lesson about history was very interesting.
interessieren (sich) für	verb		Ich interessiere mich sehr für Naturwissenschaften.	I am very interested in science.
Kind(heit)	noun	das	Als Kind habe ich gern gemalt.	As a child I liked painting.
Klasse (zweiter Klasse)	noun	die	In meiner Klasse sind achtundzwanzig Schüler.	There are twenty-eight pupils in my class.
Klassenarbeit	noun	die	Morgen schreiben wir eine Klassenarbeit in Mathe.	Tomorrow we are writing a maths test.
Klassenkamarad/in	noun	der	Mein Klassenkamerad hilft mir bei den Hausaufgaben.	My classmate helps me with my homework.	The source document spells this "Klassenkamarad"; the standard German spelling is "Klassenkamerad".
Klassenzimmer	noun	das	Unser Klassenzimmer ist im ersten Stock.	Our classroom is on the first floor.
kompliziert	adjective		Diese Aufgabe ist mir zu kompliziert.	This exercise is too complicated for me.
korrigieren	verb		Der Lehrer korrigiert unsere Aufsätze am Wochenende.	The teacher marks our essays at the weekend.
Labor	noun	das	Den Versuch machen wir im Labor.	We do the experiment in the laboratory.
sich langweilen	verb		In dieser Stunde langweile ich mich oft.	In this lesson I am often bored.
langweilig	adjective		Der Film im Unterricht war ziemlich langweilig.	The film in the lesson was rather boring.
Lärm	noun	der	Der Lärm im Klassenzimmer war unerträglich.	The noise in the classroom was unbearable.
lehren	verb		Er lehrt seit zwanzig Jahren Mathematik.	He has taught mathematics for twenty years.
Lehrer/in	noun	der	Unser neuer Lehrer ist sehr nett.	Our new teacher is very nice.
Lehrling (Lehre)	noun	der	Mein Bruder ist Lehrling in einer Werkstatt.	My brother is an apprentice in a garage.
leicht	adjective		Die Prüfung war leichter als erwartet.	The exam was easier than expected.
lernen	verb		Ich lerne seit drei Jahren Deutsch.	I have been learning German for three years.
lesen	verb		Wir lesen im Unterricht ein deutsches Buch.	In class we are reading a German book.
Lesen	noun	das	Das Lesen macht mir großen Spaß.	Reading is great fun for me.
Note	noun	die	Meine Note in Englisch war sehr gut.	My mark in English was very good.
nötig	adjective		Für diese Aufgabe ist ein Taschenrechner nötig.	A calculator is necessary for this exercise.
