Aktentasche	noun	die	Mein Vater nimmt jeden Tag seine Aktentasche mit.	My father takes his briefcase with him every day.
am Apparat	other		Guten Tag, Schmidt am Apparat.	Hello, Schmidt speaking.
Anzeige	noun	die	Ich habe die Anzeige in der Zeitung gelesen.	I read the advertisement in the newspaper.
Arbeit	noun	die	Die Arbeit im Büro macht mir Spaß.	I enjoy the work in the office.
arbeiten	verb		Meine Mutter arbeitet in einem Krankenhaus.	My mother works in a hospital.
Arbeiter/in	noun	der	Die Arbeiter in der Fabrik beginnen um sechs Uhr.	The workers in the factory start at six o'clock.
Ausbildung	noun	die	Seine Ausbildung dauert drei Jahre.	His training lasts three years.
ausbilden	verb		Die Firma bildet jedes Jahr zehn junge Leute aus.	The company trains ten young people every year.
Bericht	noun	der	Ich muss bis Freitag einen Bericht schreiben.	I have to write a report by Friday.
Beruf	noun	der	Welchen Beruf möchtest du später ausüben?	Which profession would you like to do later?
Betriebspraktikum	noun	das	Mein Betriebspraktikum war in einer Bäckerei.	My work experience was in a bakery.
Brieftasche	noun	die	Meine Brieftasche liegt in der Jacke.	My wallet is in my jacket.
Büro	noun	das	Mein Büro ist im dritten Stock.	My office is on the third floor.
Fabrik	noun	die	In dieser Fabrik werden Autos gebaut.	Cars are built in this factory.
Feierabend	noun	der	Nach Feierabend gehe ich oft schwimmen.	After work I often go swimming.
Feiertag	noun	der	Am Feiertag bleiben alle Geschäfte geschlossen.	On the public holiday all the shops stay closed.
Firma / Betrieb	noun	die	Die Firma hat über hundert Mitarbeiter.	The firm has over a hundred employees.
Ganztagsstelle	noun	die	Sie sucht eine Ganztagsstelle in der Stadt.	She is looking for a full-time job in town.
Gehalt	noun	das	Das Gehalt in diesem Beruf ist nicht besonders hoch.	The salary in this profession is not particularly high.
Geld(tasche)	noun	das	Ich habe leider kein Geld dabei.	Unfortunately I have no money with me.
Kasse	noun	die	Bitte zahlen Sie an der Kasse.	Please pay at the till.
Kleingeld	noun	das	Hast du Kleingeld für den Automaten?	Do you have change for the machine?
Konto	noun	das	Ich habe mein Konto bei der Sparkasse.	I have my account at the savings bank.
Kreditkarte	noun	die	Kann ich mit Kreditkarte bezahlen?	Can I pay by credit card?
Kunde / Kundin	noun	der	Der Kunde wartet schon an der Kasse.	The customer is already waiting at the till.
Lohn	noun	der	Der Lohn wird jeden Monat überwiesen.	The wages are transferred every month.
Münze	noun	die	Für den Automaten brauche ich eine Münze.	For the machine I need a coin.
Pfund	noun	das	Ich habe noch zwanzig Pfund aus England.	I still have twenty pounds from England.
Reklame	noun	die	Im Briefkasten war nur Reklame.	There was only advertising in the letter box.
Schein (e.g. 50-Euro-Schein)	noun	der	Können Sie einen Fünfzig-Euro-Schein wechseln?	Can you change a fifty-euro note?
Stelle	noun	die	Er hat eine neue Stelle in Hamburg gefunden.	He found a new job in Hamburg.
Taschengeld	noun	das	Ich bekomme jede Woche zehn Euro Taschengeld.	I get ten euros pocket money every week.
Teilzeitarbeit	noun	die	Meine Mutter macht seit Januar Teilzeitarbeit.	My mother has worked part-time since January.
Telefonbuch	noun	das	Die Nummer steht im Telefonbuch.	The number is in the telephone directory.
Telefonzelle	noun	die	Früher gab es an jeder Ecke eine Telefonzelle.	There used to be a telephone box on every corner.
Termin	noun	der	Ich habe morgen einen Termin beim Chef.	I have an appointment with the boss tomorrow.
Theke	noun	die	Der Verkäufer steht hinter der Theke.	The shop assistant stands behind the counter.
Trinkgeld	noun	das	Wir haben dem Kellner ein Trinkgeld gegeben.	We gave the waiter a tip.
Umschlag	noun	der	Schreib bitte die Adresse auf den Umschlag.	Please write the address on the envelope.
unterschreiben	verb		Bitte unterschreiben Sie hier unten.	Please sign here at the bottom.
Unterschrift	noun	die	Ohne Unterschrift ist das Formular ungültig.	Without a signature the form is invalid.
verdienen	verb		In diesem Job verdient man ganz gut.	In this job you earn quite well.
Vorwahl	noun	die	Die Vorwahl für Berlin ist null dreißig.	The dialling code for Berlin is oh thirty.
weiter machen	verb		Nach der Pause machen wir mit der Arbeit weiter.	After the break we carry on with the work.
Zukunft	noun	die	In Zukunft möchte ich im Ausland arbeiten.	In future I would like to work abroad.
arbeitslos	adjective		Mein Onkel ist seit einem Jahr arbeitslos.	My uncle has been unemployed for a year.
Armee	noun	die	Sein Bruder ist bei der Armee.	His brother is in the army.
Arzt / Ärztin	noun	der	Der Arzt hat mir Ruhe verordnet.	The doctor prescribed me rest.
Babysitten	noun	das	Mit Babysitten verdiene ich mein Taschengeld.	I earn my pocket money with babysitting.
babysitten	verb		Am Samstag babysitte ich bei den Nachbarn.	On Saturday I am babysitting at the neighbours'.
Beamte / Beamtin	noun	der	Der Beamte im Rathaus war sehr freundlich.	The official at the town hall was very friendly.
Briefträger/in	noun	der	Der Briefträger kommt jeden Morgen um neun.	The postman comes every morning at nine.
Chef/in	noun	der	Mein Chef ist streng, aber gerecht.	My boss is strict but fair.
Elektriker	noun	der	Der Elektriker hat die Lampe repariert.	The electrician repaired the lamp.
Feuerwehr	noun	die	Die Feuerwehr war in fünf Minuten da.	The fire brigade was there in five minutes.
Feuerwehrmann/frau	noun	der	Mein Onkel ist Feuerwehrmann von Beruf.	My uncle is a fireman by profession.
Frisör / Friseuse	noun	der	Ich gehe morgen zum Frisör.	I'm going to the hairdresser's tomorrow.
Geschäftsmann/frau	noun	der	Ihr Vater ist Geschäftsmann in Frankfurt.	Her father is a businessman in Frankfurt.
Händler(in)	noun	der	Der Händler auf dem Markt kennt mich gut.	The trader at the market knows me well.
Ingenieur/in	noun	der	Mein Bruder arbeitet als Ingenieur bei einer Autofirma.	My brother works as an engineer at a car company.
Kassierer(in)	noun	der	Der Kassierer hat mir das Wechselgeld gegeben.	The cashier gave me my change.
Kellner(in)	noun	der	Der Kellner hat uns die Speisekarte gebracht.	The waiter brought us the menu.
Klempner/in	noun	der	Der Klempner repariert den Wasserhahn.	The plumber is repairing the tap.
Koch / Köchin	noun	der	Der Koch in diesem Restaurant ist ausgezeichnet.	The chef in this restaurant is excellent.
kochen	verb		Am Wochenende kocht mein Vater immer.	At the weekend my father always cooks.
Künstler/in	noun	der	Der Künstler stellt seine Bilder im Museum aus.	The artist is exhibiting his pictures at the museum.
Laden(besitzer)	noun	der	Der Laden an der Ecke schließt um acht.	The shop on the corner closes at eight.
Leiter	noun	der	Der Leiter der Firma hält morgen eine Rede.	The manager of the firm is giving a speech tomorrow.
Leiter	noun	die	Für die Lampe brauche ich eine Leiter.	For the lamp I need a ladder.
Mauer	noun	die	Um den Garten steht eine hohe Mauer.	There is a high wall around the garden.
Maurer	noun	der	Der Maurer baut die Wand aus Backstein.	The builder is building the wall out of brick.
Mechaniker/in	noun	der	Der Mechaniker hat mein Auto repariert.	The mechanic repaired my car.
Programmierer/in	noun	der	Als Programmierer arbeitet er am Computer.	As a computer programmer he works at the computer.
Sekretär/in	noun	der	Die Sekretärin hat den Termin notiert.	The secretary noted the appointment.
Soldat	noun	der	Sein Großvater war Soldat.	His grandfather was a soldier.
Tierarzt/ärztin	noun	der	Der Tierarzt hat unsere Katze untersucht.	The vet examined our cat.
Verkäufer/in	noun	der	Der Verkäufer hat mir gut geholfen.	The sales assistant helped me well.
Arbeitgeber	noun	der	Mein Arbeitgeber zahlt die Fahrkarte.	My employer pays for the travel ticket.
Arbeitnehmer	noun	der	Die Arbeitnehmer fordern höhere Löhne.	The employees are demanding higher wages.
Arbeitsamt	noun	das	Beim Arbeitsamt bekommt man Hilfe bei der Jobsuche.	At the job centre you get help with looking for a job.
Arbeitslosigkeit	noun	die	Die Arbeitslosigkeit ist in dieser Region hoch.	Unemployment is high in this region.
Berufsberatung	noun	die	Nächste Woche haben wir Berufsberatung in der Schule.	Next week we have careers advice at school.
bewerben (sich)	verb		Ich bewerbe mich um eine Stelle als Verkäufer.	I am applying for a job as a sales assistant.
Bewerbungsgespräch	noun	das	Das Bewerbungsgespräch dauerte eine halbe Stunde.	The job interview lasted half an hour.
Gelegenheit	noun	die	Das war eine gute Gelegenheit, Englisch zu üben.	That was a good opportunity to practise English.
gelingen	verb		Der Kuchen ist mir heute gut gelungen.	The cake turned out well for me today.
Hochschulabschluß	noun	der	Für diesen Beruf braucht man einen Hochschulabschluss.	For this profession you need a university degree.	The source document spells this "Hochschulabschluß"; today's standard spelling is "Hochschulabschluss".
